Full_Name,Lat,Long,YeStart,YeEnd,Funestus
Cabungo,-8.5667,13.5,2002,2002,0.0
Kilunda,-8.9268,13.5878,2001,2002,1.0
Barragem,-12.339,14.7892,2008,2009,1.0
Candiero,-12.3665,14.761,2008,2009,1.0
Canjala,-12.3547,14.7365,2008,2009,1.0
Capango,-12.3836,14.8332,2008,2009,1.0
Chissequele,-12.3634,14.7832,2008,2009,1.0
Libata,-12.339,14.7673,2008,2009,1.0
Cavaco,-12.5433,13.4308,2005,2005,0.0
Cawango,-12.5689,13.4034,2001,2001,0.0
Sao Pedro,-12.715,13.467,2001,2001,0.0
Alto Liro,-12.348,13.5985,2003,2005,0.0
Caponte,-12.3616,13.5488,2003,2007,0.0
Liro,-12.3719,13.5947,2003,2007,0.0
Lobito town,-12.361,13.53,2003,2007,0.0
Lobito Velho,-12.338,13.5526,2003,2007,0.0
Restinga,-12.3277,13.5644,2003,2007,0.0
San Joao,-12.3593,13.553,2003,2007,0.0
Sonamet-Yard,-12.359,13.5505,2003,2007,0.0
Calueque,-17.259,14.56,1998,2004,1.0
Omnhenene,-17.3833,14.5667,2002,2002,1.0
Camussamba,-12.0667,15.8,2003,2004,1.0
Ca噇a,-12.851,15.559,2014,2014,0.0
Cazenga 1,-12.7573,15.7171,2001,2001,0.0
Cazengue,-12.7587,15.7206,2001,2001,0.0
Cossango,-12.667,15.65,2003,2003,1.0
Sao Jose,-12.7836,15.7394,2001,2001,0.0
Tchilonga,-12.6476,15.6463,2003,2004,1.0
Chibia,-15.191,13.689,2014,2014,0.0
Lubango,-14.916,13.492,2002,2002,0.0
N誨alatando,-9.298,14.915,2003,2003,0.0
Bairro Pinto,-8.8333,13.55,2002,2002,1.0
Mulundu,-8.8167,13.4833,2001,2002,1.0
Nazar�-Vidrul,-8.7573,13.4035,2001,2002,1.0
Pinto,-8.7833,13.4667,2001,2002,1.0
Sa� Francisco da Praia,-8.754,13.3966,2001,2002,1.0
Mateba,-8.8029,13.2589,2002,2003,0.0
Nazar�,-8.8081,13.2393,2003,2003,0.0
Samba,-8.8804,13.1965,2001,2001,0.0
Sa� Miguel,-8.8173,13.2253,2001,2002,1.0
Bita Tanke,-9.117,13.3336,2001,2002,1.0
Viana,-8.898,13.347,2002,2002,0.0
Bairro Aida,-15.1764,12.194,2001,2002,0.0
Bairro St. Rita,-15.1876,12.1574,2001,2002,0.0
Kikudo,-6.1224,12.3615,2002,2002,0.0
Matajor,-6.1259,12.3601,2002,2002,0.0
Banikoara,11.2985,2.4386,2008,2010,0.0
Banikoara 1,11.2935,2.399,2008,2008,0.0
Banikoara 2,11.2972,2.4741,2008,2008,0.0
Banikoara 3,11.3076,2.4509,2008,2008,0.0
Banikani,11.221,3.064,2015,2015,0.0
Congou,11.2004,2.908,2015,2015,0.0
Faba,11.3233,3.0401,2015,2015,0.0
Kossarou,11.1248,2.936,2012,2013,1.0
Namarou,11.1793,2.9008,2015,2015,0.0
Saah,11.1747,3.0673,2015,2015,0.0
Sonsoro,11.0817,2.7699,1995,2015,1.0
Tissarou,11.1177,2.8792,2015,2015,0.0
Tui,11.2867,3.0213,2012,2013,0.0
Yondarou,11.05,2.733,2012,2013,0.0
Gansosso,12.3691,2.8662,2012,2013,1.0
Karimama,12.0667,3.1833,2001,2001,0.0
Moune,12.1,3.05,1998,1998,0.0
Arobanda,11.8514,3.3959,2012,2012,0.0
