Unnamed: 0,Full_Name,Lat,Long,YeStart,YeEnd,Funestus,min_1,min_2,min_3,min_4,min_5,min_6,min_7,min_8,min_9,min_10,min_11,min_12,max_1,max_2,max_3,max_4,max_5,max_6,max_7,max_8,max_9,max_10,max_11,max_12
0,Cabungo,-8.5667,13.5,2002,2002,0.0,21.739831542968773,22.247521972656273,22.265618896484398,22.98079833984377,19.107934570312523,17.373773193359398,13.856408691406276,15.590997314453151,17.546014404296898,19.670892333984398,19.59411010742189,21.608239746093773,33.594628906250016,35.024011230468766,33.9688659667969,33.36712036132815,32.672570800781266,31.758477783203148,30.437707519531273,29.33724365234377,32.273461914062516,33.7460876464844,34.860070800781266,35.007104492187516
1,Kilunda,-8.9268,13.5878,2001,2002,1.0,21.210961914062523,22.411798095703148,21.094964599609398,22.76061401367189,18.892510986328148,17.471673583984398,13.487359619140651,15.894250488281276,17.155816650390648,19.425286865234398,19.781427001953148,21.200769042968773,35.31807861328127,36.80129394531252,35.60689697265627,33.658715820312516,34.317346191406266,33.0728698730469,31.67199096679689,30.875238037109398,34.0317321777344,35.75786743164065,36.54738769531252,37.1227966308594
2,Barragem,-12.339,14.7892,2008,2009,1.0,12.809136962890651,11.699884033203151,12.716149902343776,12.293054199218776,10.4887634277344,8.193200683593716,7.57830200195309,9.617089843750025,11.939843750000026,13.590081787109401,12.852716064453151,11.958459472656276,27.03621826171877,26.814752197265648,25.530572509765648,26.308892822265648,26.497552490234398,27.060723876953148,28.480493164062523,31.62801513671877,33.813623046875016,33.089807128906266,26.822229003906273,26.45787963867189
3,Candiero,-12.3665,14.761,2008,2009,1.0,13.027551269531276,11.884942626953151,12.994958496093776,12.916436767578151,11.132501220703151,8.273461914062523,7.395654296875023,10.219140625000025,12.042962646484401,13.499108886718776,13.040002441406276,12.169610595703151,27.857232666015648,27.578149414062523,26.346246337890648,27.158105468750023,27.44661865234377,27.739038085937523,29.289239501953148,32.1806579589844,34.2537780761719,34.03069458007815,27.628106689453148,27.26644287109377
4,Canjala,-12.3547,14.7365,2008,2009,1.0,13.027551269531276,11.884942626953151,12.994958496093776,12.916436767578151,11.132501220703151,8.273461914062523,7.395654296875023,10.219140625000025,12.042962646484401,13.499108886718776,13.040002441406276,12.169610595703151,27.857232666015648,27.578149414062523,26.346246337890648,27.158105468750023,27.44661865234377,27.739038085937523,29.289239501953148,32.1806579589844,34.2537780761719,34.03069458007815,27.628106689453148,27.26644287109377
5,Capango,-12.3836,14.8332,2008,2009,1.0,12.809136962890651,11.699884033203151,12.716149902343776,12.293054199218776,10.4887634277344,8.193200683593716,7.57830200195309,9.617089843750025,11.939843750000026,13.590081787109401,12.852716064453151,11.958459472656276,27.03621826171877,26.814752197265648,25.530572509765648,26.308892822265648,26.497552490234398,27.060723876953148,28.480493164062523,31.62801513671877,33.813623046875016,33.089807128906266,26.822229003906273,26.45787963867189
6,Chissequele,-12.3634,14.7832,2008,2009,1.0,12.809136962890651,11.699884033203151,12.716149902343776,12.293054199218776,10.4887634277344,8.193200683593716,7.57830200195309,9.617089843750025,11.939843750000026,13.590081787109401,12.852716064453151,11.958459472656276,27.03621826171877,26.814752197265648,25.530572509765648,26.308892822265648,26.497552490234398,27.060723876953148,28.480493164062523,31.62801513671877,33.813623046875016,33.089807128906266,26.822229003906273,26.45787963867189
7,Libata,-12.339,14.7673,2008,2009,1.0,13.027551269531276,11.884942626953151,12.994958496093776,12.916436767578151,11.132501220703151,8.273461914062523,7.395654296875023,10.219140625000025,12.042962646484401,13.499108886718776,13.040002441406276,12.169610595703151,27.857232666015648,27.578149414062523,26.346246337890648,27.158105468750023,27.44661865234377,27.739038085937523,29.289239501953148,32.1806579589844,34.2537780761719,34.03069458007815,27.628106689453148,27.26644287109377
8,Cavaco,-12.5433,13.4308,2005,2005,0.0,22.308648681640648,21.127282714843773,21.87975463867189,20.159844970703148,18.957055664062523,17.309411621093773,16.675347900390648,16.107598876953148,17.876245117187523,20.03478393554689,22.464562988281273,22.390802001953148,30.761926269531273,30.91906127929689,31.99739990234377,31.346856689453148,31.66466674804689,27.199121093750023,24.69954833984377,25.47765502929689,26.182031250000023,29.07039794921877,30.295709228515648,29.727105712890648
9,Cawango,-12.5689,13.4034,2001,2001,0.0,20.525140380859398,22.12413940429689,22.566186523437523,23.561059570312523,20.388208007812523,17.927453613281273,16.439416503906273,16.259973144531273,17.593591308593773,19.298394775390648,20.533929443359398,21.204583740234398,30.23644409179689,29.89241943359377,30.826562500000023,31.42369995117189,31.92684326171877,29.463403320312523,25.554650878906273,24.92638549804689,26.716333007812523,28.33190307617189,29.275201416015648,29.035119628906273
10,Alto Liro,-12.347999999999999,13.5985,2003,2005,0.0,21.50817260742189,20.039270019531273,20.98644409179689,20.075158691406273,18.595300292968773,16.829522705078148,16.105645751953148,15.838739013671901,17.404565429687526,19.49743041992189,22.06652221679689,21.568322753906273,30.063897705078148,29.879663085937523,30.889215087890648,30.254571533203148,31.199456787109398,26.82702026367189,24.572717285156273,25.172662353515648,25.977563476562523,29.065087890625023,30.182916259765648,28.331964111328148
11,Caponte,-12.3616,13.5488,2003,2007,0.0,21.685144042968773,22.693078613281273,24.150598144531273,23.852960205078148,20.240228271484398,20.147393798828148,17.210504150390648,17.006158447265648,18.376733398437523,18.913232421875023,22.256646728515648,23.26497802734377,28.352258300781273,29.217095947265648,30.020166015625023,30.356591796875023,27.984582519531273,26.566461181640648,24.49694213867189,22.863580322265648,24.497827148437523,26.25692138671877,28.150323486328148,27.804132080078148
