Full_Name,Lat,Long,YeStart,YeEnd,Gambiae,Funestus,min_1,max_1,min_2,max_2,min_3,max_3,min_4,max_4,min_5,max_5,min_6,max_6,min_7,max_7,min_8,max_8,min_9,max_9,min_10,max_10,min_11,max_11,min_12,max_12
Cabungo,-8.5667,13.5,2002,2002,1.0,0.0,21.0,36.5,21.5,38.6,22.1,37.3,22.5,38.2,18.1,39.8,14.4,36.0,13.9,31.6,15.1,31.0,15.2,33.8,18.6,35.3,19.1,35.9,20.8,36.2
Kilunda,-8.9268,13.5878,2001,2002,0.0,1.0,20.3,37.3,20.7,40.0,20.8,38.0,22.0,39.8,16.3,42.3,13.0,37.9,13.6,33.8,14.7,33.7,14.5,34.8,18.4,37.9,17.9,37.7,20.0,37.8
Barragem,-12.339,14.7892,2008,2009,0.0,1.0,8.3,27.9,10.0,27.5,11.9,27.1,12.2,28.2,9.9,28.7,7.3,29.5,5.3,32.2,10.2,35.8,9.2,37.9,11.3,34.3,10.8,33.3,8.6,30.1
Candiero,-12.3665,14.761,2008,2009,0.0,1.0,8.3,27.9,10.0,27.5,11.9,27.1,12.2,28.2,9.9,28.7,7.3,29.5,5.3,32.2,10.2,35.8,9.2,37.9,11.3,34.3,10.8,33.3,8.6,30.1
Canjala,-12.3547,14.7365,2008,2009,0.0,1.0,8.3,27.9,10.0,27.5,11.9,27.1,12.2,28.2,9.9,28.7,7.3,29.5,5.3,32.2,10.2,35.8,9.2,37.9,11.3,34.3,10.8,33.3,8.6,30.1
Capango,-12.3836,14.8332,2008,2009,0.0,1.0,8.3,27.9,10.0,27.5,11.9,27.1,12.2,28.2,9.9,28.7,7.3,29.5,5.3,32.2,10.2,35.8,9.2,37.9,11.3,34.3,10.8,33.3,8.6,30.1
Chissequele,-12.3634,14.7832,2008,2009,0.0,1.0,8.3,27.9,10.0,27.5,11.9,27.1,12.2,28.2,9.9,28.7,7.3,29.5,5.3,32.2,10.2,35.8,9.2,37.9,11.3,34.3,10.8,33.3,8.6,30.1
Libata,-12.339,14.7673,2008,2009,0.0,1.0,8.3,27.9,10.0,27.5,11.9,27.1,12.2,28.2,9.9,28.7,7.3,29.5,5.3,32.2,10.2,35.8,9.2,37.9,11.3,34.3,10.8,33.3,8.6,30.1
Cavaco,-12.5433,13.4308,2005,2005,1.0,0.0,20.9,30.6,21.7,32.1,21.1,32.0,21.3,32.1,21.3,32.0,19.5,30.0,16.8,29.4,16.2,24.7,17.8,25.9,20.0,28.9,22.5,30.2,20.5,30.7
Cawango,-12.5689,13.4034,2001,2001,1.0,0.0,20.5,31.9,22.0,32.5,23.7,34.2,24.2,33.7,21.5,33.8,17.6,31.3,16.2,28.9,16.5,27.8,16.2,25.9,19.7,31.0,20.4,29.4,21.8,30.2
Sao Pedro,-12.715,13.467,2001,2001,1.0,0.0,17.3,36.1,18.5,35.9,20.3,37.4,20.8,37.2,18.1,38.1,14.3,35.4,14.1,33.1,13.9,31.8,13.4,30.5,17.4,34.9,16.5,33.5,18.7,33.3
Alto Liro,-12.347999999999999,13.5985,2003,2005,1.0,0.0,19.3,33.0,18.9,34.4,18.5,34.3,17.9,35.0,18.4,34.9,16.7,32.5,14.2,32.3,13.4,28.2,16.4,29.0,18.4,31.5,20.7,31.9,18.9,33.5
Caponte,-12.3616,13.5488,2003,2007,1.0,0.0,21.0,30.1,21.6,30.4,24.0,31.5,22.9,31.9,20.0,30.9,21.4,30.1,16.9,28.6,17.1,24.5,18.0,25.8,20.2,27.9,22.3,30.9,23.3,29.8
Liro,-12.3719,13.5947,2003,2007,1.0,0.0,18.0,33.0,18.4,34.3,20.8,34.8,19.8,35.4,16.1,34.3,17.4,33.4,14.4,32.3,14.6,29.9,15.9,30.4,18.2,32.3,19.7,33.8,20.5,33.2
Lobito town,-12.360999999999999,13.53,2003,2007,1.0,0.0,21.0,30.1,21.6,30.4,24.0,31.5,22.9,31.9,20.0,30.9,21.4,30.1,16.9,28.6,17.1,24.5,18.0,25.8,20.2,27.9,22.3,30.9,23.3,29.8
Lobito Velho,-12.338,13.5526,2003,2007,1.0,0.0,21.0,30.1,21.6,30.4,24.0,31.5,22.9,31.9,20.0,30.9,21.4,30.1,16.9,28.6,17.1,24.5,18.0,25.8,20.2,27.9,22.3,30.9,23.3,29.8
Restinga,-12.3277,13.5644,2003,2007,1.0,0.0,21.0,30.1,21.6,30.4,24.0,31.5,22.9,31.9,20.0,30.9,21.4,30.1,16.9,28.6,17.1,24.5,18.0,25.8,20.2,27.9,22.3,30.9,23.3,29.8
San Joao,-12.3593,13.552999999999999,2003,2007,1.0,0.0,21.0,30.1,21.6,30.4,24.0,31.5,22.9,31.9,20.0,30.9,21.4,30.1,16.9,28.6,17.1,24.5,18.0,25.8,20.2,27.9,22.3,30.9,23.3,29.8
Sonamet-Yard,-12.359000000000002,13.5505,2003,2007,1.0,0.0,21.0,30.1,21.6,30.4,24.0,31.5,22.9,31.9,20.0,30.9,21.4,30.1,16.9,28.6,17.1,24.5,18.0,25.8,20.2,27.9,22.3,30.9,23.3,29.8
Calueque,-17.259,14.56,1998,2004,0.0,1.0,16.8,43.5,16.3,42.1,8.9,42.0,13.0,39.7,8.6,36.7,7.8,33.2,6.2,32.0,6.1,36.6,10.3,42.0,12.2,43.2,14.3,45.9,15.3,43.6
Omnhenene,-17.3833,14.5667,2002,2002,0.0,1.0,15.4,43.0,14.2,40.0,15.4,38.2,13.3,35.2,9.2,37.0,5.8,32.0,4.7,30.8,7.2,37.7,9.3,39.7,11.7,41.7,11.6,42.3,13.3,45.3
Camussamba,-12.0667,15.8,2003,2004,0.0,1.0,11.5,37.4,10.9,32.1,10.1,34.4,8.6,32.1,4.9,34.0,4.9,33.2,4.9,32.4,9.0,35.2,8.6,38.4,11.0,39.9,11.8,36.3,11.1,34.0
Ca�la,-12.850999999999999,15.559000000000001,2014,2014,0.0,0.0,9.4,27.6,9.5,25.9,7.8,26.8,6.1,26.3,3.5,27.7,2.5,27.2,2.5,29.2,4.3,34.1,5.0,35.0,7.6,34.8,9.1,31.1,10.8,26.0
Cazenga 1,-12.7573,15.7171,2001,2001,1.0,0.0,8.7,34.7,8.0,35.0,9.1,32.7,8.2,32.0,5.0,33.9,5.4,32.9,4.5,30.6,7.3,33.2,8.4,37.8,12.8,39.1,9.3,38.7,10.9,36.3
Cazengue,-12.7587,15.7206,2001,2001,1.0,0.0,8.7,34.7,8.0,35.0,9.1,32.7,8.2,32.0,5.0,33.9,5.4,32.9,4.5,30.6,7.3,33.2,8.4,37.8,12.8,39.1,9.3,38.7,10.9,36.3
Cossango,-12.667,15.65,2003,2003,1.0,1.0,10.1,32.0,10.7,30.5,10.3,29.5,9.4,29.5,3.8,31.8,5.3,30.2,7.7,33.6,7.0,34.9,7.9,37.4,12.1,37.3,10.8,34.4,11.8,37.1
Sao Jose,-12.7836,15.7394,2001,2001,1.0,0.0,8.7,34.7,8.0,35.0,9.1,32.7,8.2,32.0,5.0,33.9,5.4,32.9,4.5,30.6,7.3,33.2,8.4,37.8,12.8,39.1,9.3,38.7,10.9,36.3
Tchilonga,-12.6476,15.6463,2003,2004,0.0,1.0,12.8,35.0,10.9,31.4,10.1,33.2,7.7,31.5,4.2,33.4,3.7,32.4,3.6,30.4,7.7,34.8,6.8,38.3,12.2,39.7,12.6,35.0,11.5,32.7
Chibia,-15.190999999999999,13.689,2014,2014,0.0,0.0,9.8,28.1,9.6,27.1,9.8,26.7,5.6,26.5,4.3,26.5,4.0,26.9,0.4,27.9,1.8,33.5,3.2,35.5,7.8,34.2,8.9,33.9,9.3,26.8
Lubango,-14.915999999999999,13.492,2002,2002,0.0,0.0,9.0,34.4,12.5,32.6,13.2,33.4,13.1,32.7,8.9,34.0,2.8,32.8,3.0,32.4,5.5,35.8,7.3,37.4,7.7,39.2,6.3,36.3,6.4,36.8
N�dalatando,-9.298,14.915,2003,2003,1.0,0.0,13.6,38.8,14.1,39.0,16.2,39.0,17.1,39.7,13.0,40.1,12.5,38.1,12.9,39.3,12.6,37.5,14.5,37.4,17.0,35.9,16.9,38.2,15.8,35.1
Bairro Pinto,-8.8333,13.55,2002,2002,1.0,1.0,20.3,37.3,20.7,40.0,20.8,38.0,22.0,39.8,16.3,42.3,13.0,37.9,13.6,33.8,14.7,33.7,14.5,34.8,18.4,37.9,17.9,37.7,20.0,37.8
Mulundu,-8.8167,13.4833,2001,2002,0.0,1.0,20.3,37.3,20.7,40.0,20.8,38.0,22.0,39.8,16.3,42.3,13.0,37.9,13.6,33.8,14.7,33.7,14.5,34.8,18.4,37.9,17.9,37.7,20.0,37.8
Nazar?Vidrul,-8.7573,13.4035,2001,2002,0.0,1.0,21.0,36.5,21.5,38.6,22.1,37.3,22.5,38.2,18.1,39.8,14.4,36.0,13.9,31.6,15.1,31.0,15.2,33.8,18.6,35.3,19.1,35.9,20.8,36.2
Pinto,-8.7833,13.4667,2001,2002,0.0,1.0,20.3,37.3,20.7,40.0,20.8,38.0,22.0,39.8,16.3,42.3,13.0,37.9,13.6,33.8,14.7,33.7,14.5,34.8,18.4,37.9,17.9,37.7,20.0,37.8
Sa?Francisco da Praia,-8.754,13.3966,2001,2002,0.0,1.0,21.0,36.5,21.5,38.6,22.1,37.3,22.5,38.2,18.1,39.8,14.4,36.0,13.9,31.6,15.1,31.0,15.2,33.8,18.6,35.3,19.1,35.9,20.8,36.2
Mateba,-8.8029,13.2589,2002,2003,1.0,0.0,20.5,35.9,21.7,41.2,22.0,39.5,21.7,39.7,19.1,39.7,17.2,35.0,16.7,33.1,15.2,31.1,17.4,31.9,20.0,33.0,21.5,33.8,22.2,34.6
Samba,-8.8804,13.1965,2001,2001,1.0,0.0,19.8,37.5,22.1,37.2,21.5,39.4,22.5,39.4,19.5,38.9,16.8,35.2,13.9,32.8,17.1,31.6,19.0,31.1,21.3,33.7,22.1,34.4,22.0,34.8
Sa?Miguel,-8.8173,13.2253,2001,2002,0.0,1.0,21.7,35.3,22.1,37.5,22.6,36.6,23.2,37.4,18.9,38.6,15.7,34.3,15.3,30.1,16.0,29.6,16.0,31.1,19.5,33.9,20.0,34.1,20.8,34.4
Bita Tanke,-9.117,13.3336,2001,2002,0.0,1.0,20.9,35.5,21.4,38.1,21.6,36.3,22.6,38.1,17.6,39.8,14.8,35.7,15.5,31.4,15.4,31.4,15.3,32.1,19.3,35.6,19.1,35.3,20.3,35.7
Viana,-8.898,13.347000000000001,2002,2002,1.0,0.0,21.7,35.3,22.1,37.5,22.6,36.6,23.2,37.4,18.9,38.6,15.7,34.3,15.3,30.1,16.0,29.6,16.0,31.1,19.5,33.9,20.0,34.1,20.8,34.4
Bairro Aida,-15.1764,12.194,2001,2002,1.0,0.0,18.7,29.4,21.5,31.3,22.4,32.2,21.7,34.0,19.2,33.2,16.1,29.3,13.9,29.6,13.3,27.5,13.1,25.0,15.0,25.3,15.9,28.4,15.7,27.7
Bairro St. Rita,-15.1876,12.1574,2001,2002,1.0,0.0,18.7,29.4,21.5,31.3,22.4,32.2,21.7,34.0,19.2,33.2,16.1,29.3,13.9,29.6,13.3,27.5,13.1,25.0,15.0,25.3,15.9,28.4,15.7,27.7
Kikudo,-6.1224,12.3615,2002,2002,1.0,0.0,22.8,32.1,23.9,33.3,22.1,34.0,22.4,34.3,21.8,33.5,18.5,31.1,15.6,28.0,15.9,28.3,17.9,28.4,20.8,30.2,22.2,32.9,22.1,32.3
Matajor,-6.1259,12.3601,2002,2002,1.0,0.0,22.8,32.1,23.9,33.3,22.1,34.0,22.4,34.3,21.8,33.5,18.5,31.1,15.6,28.0,15.9,28.3,17.9,28.4,20.8,30.2,22.2,32.9,22.1,32.3
